start	end	text
1095460	1112460	here in this case, you can undo it with CTRL Z, or you can size it up to make it easier.
1142460	1149460	th
1172460	1197460	And here the same but the blue line must go, so mark this level and delete the blue line.
1197460	1200460	If you...
1257460	1277460	Yeah, that's good.
1277460	1284740	Okay.
1284740	1308360	That's all I wanted.
1308360	1316360	So now, the same with other pages.
1316360	1344360	Here we have the page for frequency, same frequency, we don't need the same again, we
1344360	1349360	I can add a white page at the end.
1349360	1375560	so this page first must be turned back
1375560	1398320	We have to find this, this is this page, and turn it against clockwise, counter-clockwise,
1398320	1403600	drag it towards this.
1413920	1418560	Yeah, and again
1420080	1423120	drag it here.
1423120	1447120	Take out the other lever, this one, and that is the Y.
1447120	1468400	So, we drag it to the center, there we are.
1468400	1469400	already fits.
1498400	1527600	So, the third page is also good.
1527600	1552600	Next page is here, we have to drag this one until it fits.
1557600	1576600	That is 1800.
1576600	1605600	So, if we write the frequency here, to name this, that is AD for antenna diagram, 690
1605600	1610080	9p to 960
1622720	1624720	It's the same
1665600	1684440	No, I made a mistake.
1684440	1690400	The value for the frequency is this one, the smaller line above.
1690400	1698080	so that is 700, 800, 900
1706720	1707920	and here the same
1716000	1717360	and here the same
1720400	1748400	And now we have 1800 in 10 diagram, 1821, 2636.
1778400	1806400	Next level, we have to move again.
1806400	1813400	and the same frequency.
1836400	1845400	I took the wrong key. It's not AG, it's AD.
1849400	1850400	AD.
1855400	1856400	AD.
1866400	1873400	th
1896400	1921400	So, and the last one... no, that is the last one.
1921400	1939840	Good.
1939840	1958840	So now we need to compare it with the right frequency, because here we compare 600 to
1958840	1967760	900 megahertz with 3600.
1967760	1987560	So we have to switch off this, like this, and add the correct level from the diagram
1987560	2015160	that was here, that was this one, this one, so we go to this level,
2017560	2047040	Make a rectangle around that, copy, insert, add to new layer, switch this off and move
2047040	2074800	this layer towards this diagram and we copy this for horizontal and for vertical.
2077040	2094040	Vertical is already in the, we go back again because first we have to resize it, it was
2094040	2114440	181% scale, the layer, 181% scale, and now we copy it, and can drag the copy here.
2124040	2132040	It does not fit really. It's smaller, huh?
2137040	2140040	So we have to do the resize again.
2154040	2183960	Yeah, we have to do the measurement again.
2183960	2205160	to get the right size. So, from one end to the other. Drag and drop this. It's 284.
2235160	2251280	one hundred and five percent
2265160	2289660	this one must be resized. Big bigger. A bit bigger. Scale 105%. Scale. And now it fits.
2289660	2299660	So, we make a copy and drag this copy to the Vertigo Diabra.
2309660	2314660	And we write something here.
2314660	2334660	Where have I got to go for 269T and the other one?
2344660	2363660	And of course, now I write vertical for 900.
2374660	2403760	Six and a half, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve,
2433760	2461160	So when all is in place, in this case we can
2461160	2484660	draw the size of the page, which fits all, mark all,
2484660	2489060	Drag this to this page.
2489060	2513220	And now...
2513220	2541140	image by selection. So now we have a nice page here, and we can
2541140	2571060	shoes, what do we like, what is this, who am I?
2571140	2577140	Vertical 690
2586140	2589140	Boai horizontal
2590140	2592140	Boai vertical
2595140	2597140	Should be the same, no?
2601140	2605140	Let's take a look.
2616140	2619140	Ah, here's the size problem.
2624140	2628140	The 5% is somehow wrong.
2631140	2660140	OK, this one is too small, so we just choose this and size it up, so that's it.
2660140	2664140	Size it up, scale, 105 percent.
2668140	2670140	Now it fits.
2672140	2676140	So, we have the 960.
2681140	2685140	And this is also for about the 900.
2780140	2808300	okay that's it now we save this under the name
2810140	2824820	Now, take this name and that's what I need to be done.
2824820	2825620	Thank you.
